Volatility Model,Hedging Strategy,Mean Cost,Std Cost,Objective Function (mean)
Constant,DDPG,2.8683,2.3257,9.5367
Constant,DH,1.1257,0.7431,3.2811
Constant,PPO,145.4978,74.6695,373.0387
Constant,SAC,147.8542,86.7136,400.7015
Constant,TD3,9.0959,5.3426,25.4773
Heston,DDPG,0.6581,0.7848,10.9301
Heston,DH,0.4449,0.3281,5.455
Heston,PPO,35.7881,18.3876,366.0886
Heston,SAC,37.1072,21.8493,402.0827
Heston,TD3,2.3917,1.4258,26.8891
SABR,DDPG,1.8249,1.6758,6.5581
SABR,DH,0.7837,0.6108,2.4931
SABR,PPO,143.3091,73.3387,363.8504
SABR,SAC,146.9342,85.6733,394.2163
SABR,TD3,6.8624,3.8187,18.8661
